{'n_aborts': 0, 'n_successes': 0, 'steps': 1}
{'n_aborts': 18, 'n_successes': 31, 'steps': 268, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 269, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 270, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 271, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 272, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 273, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 274, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 275, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 276, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 277, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 278, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 279, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 280, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 281, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 282, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 283, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 284, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 285, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 286, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 287, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 288, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 289, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 290, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 291, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 292, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 293, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 294, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 295, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 296, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 297, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 298, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 299, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 300, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 301, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 302, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 303, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 304, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 305, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 306, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 307, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 308, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 309, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 310, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 311, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 312, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 313, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 314, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 315, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 316, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 317, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 318, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 319, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 320, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 321, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 322, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 323, 'name': 'Linear Model'}
