{'n_aborts': 2204, 'n_successes': 1813, 'steps': 142, 'name': 'Linear Model'}
{'n_aborts': 2210, 'n_successes': 1828, 'steps': 143, 'name': 'Linear Model'}
{'n_aborts': 2232, 'n_successes': 1843, 'steps': 144, 'name': 'Linear Model'}
{'n_aborts': 2241, 'n_successes': 1855, 'steps': 145, 'name': 'Linear Model'}
{'n_aborts': 2257, 'n_successes': 1868, 'steps': 146, 'name': 'Linear Model'}
{'n_aborts': 2275, 'n_successes': 1879, 'steps': 147, 'name': 'Linear Model'}
{'n_aborts': 2300, 'n_successes': 1888, 'steps': 148, 'name': 'Linear Model'}
{'n_aborts': 2311, 'n_successes': 1903, 'steps': 149, 'name': 'Linear Model'}
{'n_aborts': 2324, 'n_successes': 1912, 'steps': 150, 'name': 'Linear Model'}
{'n_aborts': 2332, 'n_successes': 1925, 'steps': 151, 'name': 'Linear Model'}
{'n_aborts': 2348, 'n_successes': 1936, 'steps': 152, 'name': 'Linear Model'}
{'n_aborts': 2364, 'n_successes': 1951, 'steps': 153, 'name': 'Linear Model'}
{'n_aborts': 2385, 'n_successes': 1962, 'steps': 154, 'name': 'Linear Model'}
{'n_aborts': 2409, 'n_successes': 1972, 'steps': 155, 'name': 'Linear Model'}
{'n_aborts': 2419, 'n_successes': 1983, 'steps': 156, 'name': 'Linear Model'}
{'n_aborts': 2438, 'n_successes': 1991, 'steps': 157, 'name': 'Linear Model'}
{'n_aborts': 2456, 'n_successes': 2001, 'steps': 158, 'name': 'Linear Model'}
{'n_aborts': 2482, 'n_successes': 2010, 'steps': 159, 'name': 'Linear Model'}
{'n_aborts': 2505, 'n_successes': 2020, 'steps': 160, 'name': 'Linear Model'}
{'n_aborts': 2533, 'n_successes': 2029, 'steps': 161, 'name': 'Linear Model'}
{'n_aborts': 2544, 'n_successes': 2044, 'steps': 162, 'name': 'Linear Model'}
{'n_aborts': 2553, 'n_successes': 2064, 'steps': 163, 'name': 'Linear Model'}
{'n_aborts': 2571, 'n_successes': 2073, 'steps': 164, 'name': 'Linear Model'}
{'n_aborts': 2587, 'n_successes': 2087, 'steps': 165, 'name': 'Linear Model'}
{'n_aborts': 2602, 'n_successes': 2102, 'steps': 166, 'name': 'Linear Model'}
{'n_aborts': 2607, 'n_successes': 2116, 'steps': 167, 'name': 'Linear Model'}
{'n_aborts': 2622, 'n_successes': 2126, 'steps': 168, 'name': 'Linear Model'}
{'n_aborts': 2641, 'n_successes': 2140, 'steps': 169, 'name': 'Linear Model'}
{'n_aborts': 2660, 'n_successes': 2153, 'steps': 170, 'name': 'Linear Model'}
{'n_aborts': 2669, 'n_successes': 2163, 'steps': 171, 'name': 'Linear Model'}
{'n_aborts': 2688, 'n_successes': 2171, 'steps': 172, 'name': 'Linear Model'}
{'n_aborts': 2703, 'n_successes': 2180, 'steps': 173, 'name': 'Linear Model'}
{'n_aborts': 2723, 'n_successes': 2194, 'steps': 174, 'name': 'Linear Model'}
{'n_aborts': 2740, 'n_successes': 2205, 'steps': 175, 'name': 'Linear Model'}
{'n_aborts': 2750, 'n_successes': 2218, 'steps': 176, 'name': 'Linear Model'}
{'n_aborts': 2764, 'n_successes': 2228, 'steps': 177, 'name': 'Linear Model'}
{'n_aborts': 2782, 'n_successes': 2237, 'steps': 178, 'name': 'Linear Model'}
{'n_aborts': 2800, 'n_successes': 2254, 'steps': 179, 'name': 'Linear Model'}
{'n_aborts': 2813, 'n_successes': 2265, 'steps': 180, 'name': 'Linear Model'}
{'n_aborts': 2838, 'n_successes': 2278, 'steps': 181, 'name': 'Linear Model'}
{'n_aborts': 2847, 'n_successes': 2293, 'steps': 182, 'name': 'Linear Model'}
{'n_aborts': 2866, 'n_successes': 2306, 'steps': 183, 'name': 'Linear Model'}
{'n_aborts': 2882, 'n_successes': 2319, 'steps': 184, 'name': 'Linear Model'}
{'n_aborts': 2902, 'n_successes': 2332, 'steps': 185, 'name': 'Linear Model'}
{'n_aborts': 2913, 'n_successes': 2344, 'steps': 186, 'name': 'Linear Model'}
{'n_aborts': 2936, 'n_successes': 2354, 'steps': 187, 'name': 'Linear Model'}
{'n_aborts': 2943, 'n_successes': 2374, 'steps': 188, 'name': 'Linear Model'}
{'n_aborts': 2954, 'n_successes': 2387, 'steps': 189, 'name': 'Linear Model'}
{'n_aborts': 2972, 'n_successes': 2399, 'steps': 190, 'name': 'Linear Model'}
{'n_aborts': 2992, 'n_successes': 2410, 'steps': 191, 'name': 'Linear Model'}
{'n_aborts': 3014, 'n_successes': 2425, 'steps': 192, 'name': 'Linear Model'}
{'n_aborts': 3019, 'n_successes': 2436, 'steps': 193, 'name': 'Linear Model'}
{'n_aborts': 3038, 'n_successes': 2450, 'steps': 194, 'name': 'Linear Model'}
{'n_aborts': 3051, 'n_successes': 2464, 'steps': 195, 'name': 'Linear Model'}
{'n_aborts': 3075, 'n_successes': 2473, 'steps': 196, 'name': 'Linear Model'}
{'n_aborts': 3085, 'n_successes': 2494, 'steps': 197, 'name': 'Linear Model'}
{'n_aborts': 3103, 'n_successes': 2504, 'steps': 198, 'name': 'Linear Model'}
{'n_aborts': 3118, 'n_successes': 2520, 'steps': 199, 'name': 'Linear Model'}
{'n_aborts': 3136, 'n_successes': 2531, 'steps': 200, 'name': 'Linear Model'}
{'n_aborts': 3151, 'n_successes': 2544, 'steps': 201, 'name': 'Linear Model'}
{'n_aborts': 3180, 'n_successes': 2557, 'steps': 202, 'name': 'Linear Model'}
{'n_aborts': 3185, 'n_successes': 2571, 'steps': 203, 'name': 'Linear Model'}
{'n_aborts': 3205, 'n_successes': 2583, 'steps': 204, 'name': 'Linear Model'}
{'n_aborts': 3228, 'n_successes': 2595, 'steps': 205, 'name': 'Linear Model'}
{'n_aborts': 3243, 'n_successes': 2611, 'steps': 206, 'name': 'Linear Model'}
{'n_aborts': 3263, 'n_successes': 2628, 'steps': 207, 'name': 'Linear Model'}
{'n_aborts': 3275, 'n_successes': 2638, 'steps': 208, 'name': 'Linear Model'}
{'n_aborts': 3287, 'n_successes': 2646, 'steps': 209, 'name': 'Linear Model'}
{'n_aborts': 3304, 'n_successes': 2655, 'steps': 210, 'name': 'Linear Model'}
{'n_aborts': 3321, 'n_successes': 2667, 'steps': 211, 'name': 'Linear Model'}
{'n_aborts': 3337, 'n_successes': 2681, 'steps': 212, 'name': 'Linear Model'}
