{'n_aborts': 0, 'n_successes': 45, 'steps': 17, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 83, 'steps': 18, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 233, 'steps': 18, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 91, 'steps': 18, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 91, 'steps': 18, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 236, 'steps': 18, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 94, 'steps': 18, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 47, 'steps': 18, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 87, 'steps': 19, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 242, 'steps': 19, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 98, 'steps': 19, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 95, 'steps': 19, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 242, 'steps': 19, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 98, 'steps': 19, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 48, 'steps': 19, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 93, 'steps': 20, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 244, 'steps': 20, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 105, 'steps': 20, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 100, 'steps': 20, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 248, 'steps': 20, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 105, 'steps': 20, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 52, 'steps': 20, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 97, 'steps': 21, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 253, 'steps': 21, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 109, 'steps': 21, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 106, 'steps': 21, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 256, 'steps': 21, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 117, 'steps': 21, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 58, 'steps': 21, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 104, 'steps': 22, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 258, 'steps': 22, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 111, 'steps': 22, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 111, 'steps': 22, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 262, 'steps': 22, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 124, 'steps': 22, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 61, 'steps': 22, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 107, 'steps': 23, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 264, 'steps': 23, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 113, 'steps': 23, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 115, 'steps': 23, 'name': 'k-smf-oracle-2-phase-k=5'}
