{'n_aborts': 0, 'n_successes': 138, 'steps': 29, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 276, 'steps': 29, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 147, 'steps': 29, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 145, 'steps': 29, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 277, 'steps': 29, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 165, 'steps': 29, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 78, 'steps': 29, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 140, 'steps': 30, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 282, 'steps': 30, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 151, 'steps': 30, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 149, 'steps': 30, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 281, 'steps': 30, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 170, 'steps': 30, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 78, 'steps': 30, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 143, 'steps': 31, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 283, 'steps': 31, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 154, 'steps': 31, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 156, 'steps': 31, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 286, 'steps': 31, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 174, 'steps': 31, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 82, 'steps': 31, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 146, 'steps': 32, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 289, 'steps': 32, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 159, 'steps': 32, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 163, 'steps': 32, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 289, 'steps': 32, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 176, 'steps': 32, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 86, 'steps': 32, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 148, 'steps': 33, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 293, 'steps': 33, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 165, 'steps': 33, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 166, 'steps': 33, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 294, 'steps': 33, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 184, 'steps': 33, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 93, 'steps': 33, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 155, 'steps': 34, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 296, 'steps': 34, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 169, 'steps': 34, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 170, 'steps': 34, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 297, 'steps': 34, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 189, 'steps': 34, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 95, 'steps': 34, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 158, 'steps': 35, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 299, 'steps': 35, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 171, 'steps': 35, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 173, 'steps': 35, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 301, 'steps': 35, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 195, 'steps': 35, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 98, 'steps': 35, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 166, 'steps': 36, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 305, 'steps': 36, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 174, 'steps': 36, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 177, 'steps': 36, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 305, 'steps': 36, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 197, 'steps': 36, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 100, 'steps': 36, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 168, 'steps': 37, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 309, 'steps': 37, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 178, 'steps': 37, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 182, 'steps': 37, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 309, 'steps': 37, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 201, 'steps': 37, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 100, 'steps': 37, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 170, 'steps': 38, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 311, 'steps': 38, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 179, 'steps': 38, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 185, 'steps': 38, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 311, 'steps': 38, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
